,Description,Sentiment,Sentiment Score,Keywords-Description,Summary,PFP
Tyler Herro,Herro (knee) said Thursday that he is good to go for Friday's game versus Milwaukee- Ira Winderman of the South Florida Sun Sentinel reports.,NEGATIVE,0.926379204,South Florida Sun- Florida Sun Sentinel- Sun Sentinel reports- game versus Milwaukee- Ira Winderman- Friday game versus- Herro- knee- Milwaukee- Ira,Herro is averaging 23.6 points- 5.4 rebounds and 5.2 assists in 40.4 minutes across his last five appearances ,https://b.fssta.com/uploads/application/nba/headshots/3248.vresize.280.280.medium.93.png
Russell Westbrook,Westbrook (recently signed) is absent from the injury report and is slated to make his Clippers debut Friday against the Kings- Tomer Azarly of ClutchPoints.com reports.,NEGATIVE,0.989210963,Clippers debut Friday- Tomer Azarly- recently signed- make his Clippers- Azarly of ClutchPoints.com- slated to make- injury report- ClutchPoints.com reports- Westbrook- Kings,coach Tyronn Lue was unwilling to speak about how Westbrook will fit into the Clippers' rotation . fewer opportunities will likely,https://b.fssta.com/uploads/application/nba/headshots/1517.vresize.280.280.medium.6.png
Fred VanVleet,VanVleet (personal) has been ruled out of Thursday's contest against the Pelicans- Kayla Grey of TSN reports.,NEGATIVE,0.9984712,Kayla Grey- Grey of TSN- TSN reports- Thursday contest- VanVleet- personal- Pelicans- Kayla- Thursday- Grey,vanVleet was downgraded from questionable to out as the guard tends to a personal matter . expect malachi,https://b.fssta.com/uploads/application/nba/headshots/2304.vresize.280.280.medium.15.png
D'Angelo Russell,Russell (ankle) won't return to Thursday's contest against the Warriors- Dalton Johnson of NBC Sports Bay Area reports.,NEGATIVE,0.975981057,NBC Sports Bay- Sports Bay Area- Bay Area reports- Dalton Johnson- Johnson of NBC- Russell- ankle- return to Thursday- Thursday contest- Warriors,Russell picked up a right ankle sprain in the first half of the match . the guard is unavailable and should see increased minutes,https://b.fssta.com/uploads/application/nba/headshots/2050.vresize.280.280.medium.42.png
LeBron James,James (foot) will play Thursday against the Warriors- Marc J. Spears of ESPN.com reports.,NEGATIVE,0.99845314,Marc J. Spears- James- foot- play Thursday- Spears of ESPN.com- ESPN.com reports- Warriors- Marc- Spears- reports,he has been playing through this lingering injury for most of the season . expect him to give it a full-go against,https://b.fssta.com/uploads/application/nba/headshots/1120.vresize.280.280.medium.98.png
Anthony Davis,Davis (foot) will play in Thursday's matchup with the Warriors- Marc J. Spears of ESPN.com reports.,POSITIVE,0.999124229,Marc J. Spears- Davis- foot- play in Thursday- Thursday matchup- Spears of ESPN.com- ESPN.com reports- Warriors- Marc- Thursday,over his last eight appearances- Davis has averaged 23.5 points- 13.4 rebounds and 1.6 blocks in 34.1 minutes .,https://b.fssta.com/uploads/application/nba/headshots/1790.vresize.280.280.medium.76.png
Andrew Wiggins,Wiggins (personal)- who is listed as out for Thursday's game against the Lakers- remains without a timeline to return to the Warriors while he tends to a family matter- Anthony Slater of The Athletic reports.,NEGATIVE,0.979878783,Anthony Slater- Athletic reports- Thursday game- family matter- timeline to return- Wiggins- personal- Lakers- Anthony- Warriors,Wiggins missed the Warriors' final game before the All-Star break . the forward missed the game due to the family matter .,https://b.fssta.com/uploads/application/nba/headshots/1903.vresize.280.280.medium.56.png
Tre Jones,Jones (foot)  will not play in Thursday's game against the Mavericks.,NEGATIVE,0.821850896,Jones- foot- play in Thursday- Thursday game- Mavericks- play- game,malaki Branham- Devonte' Graham and Blake Wesley figure to maintain significant roles within the backcourt . next chance to play,https://b.fssta.com/uploads/application/nba/headshots/3440.vresize.280.280.medium.5.png
Ivica Zubac,Zubac will miss Friday's game against the Kings due to a strained right calf- Andrew Greif of the Los Angeles Times reports.,POSITIVE,0.989680946,Los Angeles Times- Angeles Times reports- miss Friday game- Andrew Greif- Kings due- Zubac will miss- strained right calf- Andrew- Friday- Greif,Zubac will be out for the first time since Dec. 17 with the calf issue . he averaged 11.4 points-,https://b.fssta.com/uploads/application/nba/headshots/2240.vresize.280.280.medium.10.png
Joel Embiid,Embiid is dealing with a non-COVID illness- but he's still expected to play Thursday versus Memphis- Tim Bontemps of ESPN.com reports.,POSITIVE,0.87500006,Thursday versus Memphis- Tim Bontemps- play Thursday versus- Bontemps of ESPN.com- Embiid is dealing- non-COVID illness- ESPN.com reports- Memphis- Tim- expected to play,Embiid scrimmaged with the team but didn't participate in Thursday's shootaround . there doesn',https://b.fssta.com/uploads/application/nba/headshots/1906.vresize.280.280.medium.57.png
Kyle Lowry,Head coach Erik Spoelstra indicated Thursday that Lowry (knee) would remain out indefinitely- Ira Winderman of the South Florida Sun-Sentinel reports.,NEGATIVE,0.998777568,coach Erik Spoelstra- South Florida Sun-Sentinel- Head coach Erik- Florida Sun-Sentinel reports- Thursday that Lowry- Ira Winderman- Spoelstra indicated Thursday- South Florida- knee- remain out indefinitely,lowry missed six consecutive games heading into the All-Star break . he'll miss at least a few more contests while,https://b.fssta.com/uploads/application/nba/headshots/1362.vresize.280.280.medium.20.png
Robert Williams III,Williams will start Thursday's game versus the Pacers.,NEGATIVE,0.974336445,start Thursday game- Thursday game versus- versus the Pacers- Williams will start- Pacers- Thursday- Williams- start- game- versus,the big man has started only 13 of his 23 appearances this year . he has averaging 8.8 points- 10.1 ,https://b.fssta.com/uploads/application/nba/headshots/2512.vresize.280.280.medium.90.png
Kelly Oubre Jr.,Oubre (hand) is probable for Friday's game against the Timberwolves.,POSITIVE,0.653371394,Oubre- hand- probable for Friday- Friday game- Timberwolves- probable- game,the lefty forward hasn't played since Dec. 29 . he underwent surgery to address a left hand injury .,https://b.fssta.com/uploads/application/nba/headshots/2062.vresize.280.280.medium.46.png
Terry Rozier,Rozier (hand) is probable for Friday's game against the Timberwolves.,NEGATIVE,0.773436844,Rozier- hand- probable for Friday- Friday game- Timberwolves- probable- game,he's averaged 23.6 points- 4.9 rebounds- 3.8 assists and 1.7 steals in 35.2 minutes per game,https://b.fssta.com/uploads/application/nba/headshots/2063.vresize.280.280.medium.46.png
