,Description,Impact,PFP,Sentiment,Sentiment Score,Keywords-Description,Keywords-Impact,Summary,Status
Tyler Herro,Herro (knee) said Thursday that he is good to go for Friday's game versus Milwaukee- Ira Winderman of the South Florida Sun Sentinel reports.,Herro is set to play Friday after missing the two previous games before the All-Star break with a left knee contusion. The reigning Sixth Man of the Year's return will likely send Max Strus back to the bench. Herro is averaging 23.6 points- 5.4 rebounds and 5.2 assists in 40.4 minutes across his last five appearances.,https://b.fssta.com/uploads/application/nba/headshots/3248.vresize.280.280.medium.93.png,NEGATIVE,0.926379204,South Florida Sun- Florida Sun Sentinel- Sun Sentinel reports- game versus Milwaukee- Ira Winderman- Friday game versus- Herro- knee- Milwaukee- Ira,left knee contusion- play Friday- Friday after missing- reigning Sixth Man- send Max Strus- Max Strus back- set to play- previous games- All-Star break- left knee,Herro is averaging 23.6 points- 5.4 rebounds and 5.2 assists in 40.4 minutes across his last five appearances ,knee
Russell Westbrook,Westbrook (recently signed) is absent from the injury report and is slated to make his Clippers debut Friday against the Kings- Tomer Azarly of ClutchPoints.com reports.,Westbrook will make his first appearance in a Clippers uniform Friday after being bought out by the Jazz following the trade deadline. Coach Tyronn Lue was unwilling to speak about how Westbrook will fit into the Clippers' rotation- so fantasy managers shouldn't rule out Westbrook joining the first unit.  Regardless- fewer opportunities will likely be available for Terance Mann and Bones Hyland.,https://b.fssta.com/uploads/application/nba/headshots/1517.vresize.280.280.medium.6.png,NEGATIVE,0.989210963,Clippers debut Friday- Tomer Azarly- recently signed- make his Clippers- Azarly of ClutchPoints.com- slated to make- injury report- ClutchPoints.com reports- Westbrook- Kings,Clippers uniform Friday- Coach Tyronn Lue- trade deadline- Westbrook will make- Westbrook- Clippers- Friday- Jazz- Bones Hyland- Clippers' rotation,coach Tyronn Lue was unwilling to speak about how Westbrook will fit into the Clippers' rotation . fewer opportunities will likely,Westbrook (recently signed) is absent from the injury report
Fred VanVleet,VanVleet (personal) has been ruled out of Thursday's contest against the Pelicans- Kayla Grey of TSN reports.,VanVleet was quickly downgraded from questionable to out as the guard tends to a personal matter. Expect Malachi Flynn- Gary Trent and Scottie Barnes to see increased minutes with VanVleet unavailable.,https://b.fssta.com/uploads/application/nba/headshots/2304.vresize.280.280.medium.15.png,NEGATIVE,0.9984712,Kayla Grey- Grey of TSN- TSN reports- Thursday contest- VanVleet- personal- Pelicans- Kayla- Thursday- Grey,Expect Malachi Flynn- personal matter- quickly downgraded- downgraded from questionable- Gary Trent- Trent and Scottie- Scottie Barnes- VanVleet unavailable- matter- VanVleet was quickly,vanVleet was downgraded from questionable to out as the guard tends to a personal matter . expect malachi,VanVleet
D'Angelo Russell,Russell (ankle) won't return to Thursday's contest against the Warriors- Dalton Johnson of NBC Sports Bay Area reports.,Russell picked up a right ankle sprain in the first half of Thursday's matchup with Golden State. With the guard unavailable- Dennis Schroder and Malik Beasley should see increased minutes for the remainder of the contest.,https://b.fssta.com/uploads/application/nba/headshots/2050.vresize.280.280.medium.42.png,NEGATIVE,0.975981057,NBC Sports Bay- Sports Bay Area- Bay Area reports- Dalton Johnson- Johnson of NBC- Russell- ankle- return to Thursday- Thursday contest- Warriors,Golden State- half of Thursday- Thursday matchup- matchup with Golden- Russell picked- ankle sprain- Dennis Schroder- Schroder and Malik- Malik Beasley- State,Russell picked up a right ankle sprain in the first half of the match . the guard is unavailable and should see increased minutes,Russell (ankle
LeBron James,James (foot) will play Thursday against the Warriors- Marc J. Spears of ESPN.com reports.,James was initially considered probable for Thursday's contest as he continues to deal with left foot soreness. He has been playing through this lingering injury for most of the season- so it's not much of a surprise that he's suiting up. Expect James to give it a full-go Thursday against the Warriors.,https://b.fssta.com/uploads/application/nba/headshots/1120.vresize.280.280.medium.98.png,NEGATIVE,0.99845314,Marc J. Spears- James- foot- play Thursday- Spears of ESPN.com- ESPN.com reports- Warriors- Marc- Spears- reports,left foot soreness- initially considered probable- continues to deal- deal with left- left foot- Thursday contest- probable for Thursday- Thursday- soreness- James was initially,he has been playing through this lingering injury for most of the season . expect him to give it a full-go against,James (foot
Anthony Davis,Davis (foot) will play in Thursday's matchup with the Warriors- Marc J. Spears of ESPN.com reports.,Davis was initially tabbed probable for the contest with a right foot stress injury and will give it a go. Over his last eight appearances- Davis has averaged 23.5 points- 13.4 rebounds and 1.6 blocks in 34.1 minutes.,https://b.fssta.com/uploads/application/nba/headshots/1790.vresize.280.280.medium.76.png,POSITIVE,0.999124229,Marc J. Spears- Davis- foot- play in Thursday- Thursday matchup- Spears of ESPN.com- ESPN.com reports- Warriors- Marc- Thursday,initially tabbed probable- foot stress injury- Davis- Davis was initially- points- minutes- initially- tabbed- probable- contest,over his last eight appearances- Davis has averaged 23.5 points- 13.4 rebounds and 1.6 blocks in 34.1 minutes .,Davis (foot
Andrew Wiggins,Wiggins (personal)- who is listed as out for Thursday's game against the Lakers- remains without a timeline to return to the Warriors while he tends to a family matter- Anthony Slater of The Athletic reports.,Wiggins missed the Warriors' final game before the All-Star break Feb. 14 against the Clippers due to the family matter- and head coach Steve Kerr didn't offer many details Thursday about when the forward might be ready to rejoin the team. With the Warriors opening their second-half schedule with a back-to-back set- Wiggins appears safe to rule out for Friday's game against the Rockets in addition to Thursday's contest. Donte DiVincenzo entered the starting five in place of Wiggins on Feb. 14 and should continue to play on the top unit while Wiggins remains away.,https://b.fssta.com/uploads/application/nba/headshots/1903.vresize.280.280.medium.56.png,NEGATIVE,0.979878783,Anthony Slater- Athletic reports- Thursday game- family matter- timeline to return- Wiggins- personal- Lakers- Anthony- Warriors,coach Steve Kerr- head coach Steve- Warriors' final game- All-Star break Feb.- missed the Warriors'- Clippers due- family matter- rejoin the team- details Thursday- offer many details,Wiggins missed the Warriors' final game before the All-Star break . the forward missed the game due to the family matter .,remains without a timeline
Tre Jones,Jones (foot)  will not play in Thursday's game against the Mavericks.,Jones has missed six of his last seven games with lingering left foot soreness and will miss yet another contest due to the issue. Malaki Branham- Devonte' Graham and Blake Wesley figure to maintain significant roles within the backcourt Thursday. Jones' next chance to play will come Saturday in Utah.,https://b.fssta.com/uploads/application/nba/headshots/3440.vresize.280.280.medium.5.png,NEGATIVE,0.821850896,Jones- foot- play in Thursday- Thursday game- Mavericks- play- game,lingering left foot- left foot soreness- Jones has missed- Blake Wesley figure- games with lingering- left foot- contest due- Graham and Blake- Malaki Branham- backcourt Thursday,malaki Branham- Devonte' Graham and Blake Wesley figure to maintain significant roles within the backcourt . next chance to play,Jones (foot
Ivica Zubac,Zubac will miss Friday's game against the Kings due to a strained right calf- Andrew Greif of the Los Angeles Times reports.,Zubac will be sidelined for the first time since Dec. 17 with the calf issue- which should open up an opportunity for Mason Plumlee to step into the starting lineup.   In his last five games- Zubac averaged 11.4 points- 8.8 rebounds and 1.4 blocks across 30.1 minutes. His next chance to suit up will come Sunday in Denver.,https://b.fssta.com/uploads/application/nba/headshots/2240.vresize.280.280.medium.10.png,POSITIVE,0.989680946,Los Angeles Times- Angeles Times reports- miss Friday game- Andrew Greif- Kings due- Zubac will miss- strained right calf- Andrew- Friday- Greif,Mason Plumlee- time since Dec.- opportunity for Mason- Plumlee to step- calf issue- starting lineup- Zubac averaged- Dec.- Zubac- Mason,Zubac will be out for the first time since Dec. 17 with the calf issue . he averaged 11.4 points-,strained right calf
Joel Embiid,Embiid is dealing with a non-COVID illness- but he's still expected to play Thursday versus Memphis- Tim Bontemps of ESPN.com reports.,Per Bontemps- Embiid scrimmaged with the team Wednesday- but he didn't participate in Thursday's morning shootaround. As of now- there doesn't appear to be any concern that the MVP candidate will miss the contest- but his production and usage may take a hit. Fantasy managers are encouraged to monitor Embiid's status closely ahead of the 7:30 p.m. ET tip.,https://b.fssta.com/uploads/application/nba/headshots/1906.vresize.280.280.medium.57.png,POSITIVE,0.87500006,Thursday versus Memphis- Tim Bontemps- play Thursday versus- Bontemps of ESPN.com- Embiid is dealing- non-COVID illness- ESPN.com reports- Memphis- Tim- expected to play,Thursday morning shootaround- team Wednesday- participate in Thursday- Embiid scrimmaged- Bontemps- Thursday- monitor Embiid status- Embiid status closely- MVP candidate- Embiid,Embiid scrimmaged with the team but didn't participate in Thursday's shootaround . there doesn',Embiid is dealing with a non-COVID illness
